time,target_word,result
2024-10-01 23:46:22,trabajo,False
2024-10-01 23:46:28,conjunto,False
2024-10-01 23:46:40,uso,True
2024-10-01 23:46:53,saber,False
2024-10-01 23:46:55,la,True
2024-10-01 23:46:58,palabra,True
2024-10-01 23:47:01,sobre,False
2024-10-01 23:47:05,aliviar,False
2024-10-01 23:47:14,sierra,False
2024-10-01 23:47:18,muy,True
2024-10-01 23:47:19,I,True
2024-10-01 23:47:22,cómo,True
2024-10-01 23:47:35,bajo,False
2024-10-01 23:49:24,eran,False
2024-10-01 23:49:28,crecer,False
2024-10-01 23:49:31,misma,False
2024-10-01 23:49:34,ojo,False
2024-10-01 23:49:42,ver,False
2024-10-01 23:49:45,norte,True
2024-10-01 23:49:54,hecho,False
2024-10-01 23:50:16,abajo,False
2024-10-01 23:50:18,caliente,True
2024-10-01 23:50:20,su,False
2024-10-01 23:50:30,granja,False
2024-10-01 23:50:41,por,False
2024-10-01 23:50:44,ser,False
2024-10-01 23:50:53,escuela,False
2024-10-01 23:50:57,pequeño,False
2024-10-01 23:51:01,ver,False
2024-10-01 23:51:06,por qué,False
2024-10-01 23:51:09,buena,True
2024-10-01 23:51:16,cada,False
2024-10-01 23:51:36,eran,False
2024-10-01 23:51:39,madera,False
2024-10-01 23:51:46,como,False
2024-10-01 23:51:48,todo,True
2024-10-01 23:51:52,árbol,True
2024-10-01 23:51:58,podía,False
2024-10-01 23:52:03,todavía,False
2024-10-01 23:52:06,escuchar,False
2024-10-01 23:52:15,venir,False
2024-10-01 23:52:16,pie,False
2024-10-01 23:52:24,entonces,False
2024-10-01 23:54:06,fue,False
2024-10-01 23:58:46,ellos,False
2024-10-01 23:58:51,ir,False
2024-10-01 23:58:57,niños,False
2024-10-01 23:59:01,mi,True
2024-10-01 23:59:07,los,True
2024-10-01 23:59:12,mantener,False
2024-10-01 23:59:17,muy,True
2024-10-01 23:59:20,nuestro,False
2024-10-01 23:59:25,conjunto,False
2024-10-01 23:59:27,sol,False
2024-10-01 23:59:31,vez,False
2024-10-01 23:59:33,ronda,True
2024-10-01 23:59:36,años,True
2024-10-01 23:59:39,decir,False
2024-10-01 23:59:42,crecer,False
2024-10-01 23:59:47,granja,True
2024-10-01 23:59:49,que,False
2024-10-01 23:59:52,papel,True
2024-10-01 23:59:53,madre,True
2024-10-01 23:59:58,podía,False
2024-10-02 00:00:03,pocos,True
2024-10-02 00:00:17,siga,False
2024-10-02 00:00:23,dar,False
2024-10-02 00:00:26,gusta,False
2024-10-02 00:00:29,uno,True
2024-10-02 00:00:33,cerca,False
2024-10-02 00:05:33,carta,False
2024-10-02 00:05:36,también,False
2024-10-02 00:06:03,reales,True
2024-10-02 00:06:07,comenzó,False
2024-10-02 00:06:10,planta,True
2024-10-02 00:06:12,pero,True
2024-10-02 00:06:16,dicho,False
2024-10-13 19:38:43,cuya,False
2024-10-13 19:38:49,hombres,False
2024-10-13 19:38:54,cada,False
2024-10-13 19:38:57,acto,True
2024-10-13 19:38:59,danza,False
2024-10-13 19:39:02,razón,True
2024-10-13 19:39:05,problema,False
2024-10-13 19:39:11,mucho,False
2024-10-13 19:39:13,pobre,False
2024-10-13 19:39:16,mañana,False
2024-10-13 19:39:20,juego,False
2024-10-13 19:39:24,grito,False
2024-10-13 19:39:27,así,False
2024-10-13 19:39:30,inventar,True
2024-10-13 19:39:32,preparar,True
2024-10-13 19:39:36,ser,False
2024-10-13 19:39:39,nación,True
2024-10-13 19:39:47,tiempo,False
2024-10-13 19:39:50,clave,True
2024-10-13 19:39:58,guardado,False
2024-10-13 19:40:00,rueda,False
2024-10-13 19:40:01,aceite,False
2024-10-13 19:40:03,similar,False
2024-10-13 19:40:07,escribió,False
2024-10-13 19:40:13,amigo,True
2024-10-13 19:40:17,ley,False
2024-10-13 19:40:21,cabeza,False
2024-10-13 19:40:27,aumentar,False
2024-10-13 19:40:45,forma,True
2024-10-13 19:40:48,puerto,False
2024-10-13 19:40:52,en,False
2024-10-13 19:40:54,si,False
2024-10-13 19:40:58,show,True
2024-10-13 19:41:06,cada,False
2024-10-13 19:41:07,es,True
2024-10-13 19:41:09,I,False
2024-10-13 19:41:12,sólo,True
2024-10-13 19:41:16,luz,False
2024-10-13 19:41:18,hizo,False
2024-10-13 19:41:22,así,False
2024-10-13 19:41:24,poner,False
2024-10-13 19:41:27,muy,True
2024-10-13 19:41:29,grande,False
2024-10-13 19:41:32,luz,True
2024-10-13 19:41:35,ella,False
2024-10-23 17:46:30,pájaro,False
2024-10-23 17:46:32,haría,False
2024-10-23 17:46:37,acto,True
2024-10-23 17:46:41,poner,False
2024-10-23 17:46:49,tomó,False
2024-10-23 17:46:51,un,False
2024-10-23 17:47:12,pensar,False
2024-10-23 17:47:16,forma,False
2024-10-23 17:56:57,saber,False
2024-10-23 17:57:00,sí,True
2024-10-23 17:57:03,país,False
2024-10-23 17:57:07,estado,False
2024-10-23 17:57:09,claro,True
2024-10-23 17:57:12,figura,True
2024-10-23 17:57:30,para,True
2024-10-23 17:57:35,podía,False
2024-11-25 20:34:21,niños,False
2024-11-25 20:34:28,o,False
2024-11-25 20:34:33,menudo,False
2024-11-25 20:34:36,lugar,False
2024-11-25 20:34:41,antes,False
2024-11-25 20:34:43,no,False
2024-11-25 20:34:45,ella,True
2024-11-25 20:34:47,libro,True
2024-11-25 20:35:24,ambos,False
2024-11-25 20:35:26,colores,True
2024-11-25 20:35:30,ambos,False
2024-11-25 20:35:32,buena,True
2024-11-25 20:35:37,niños,True
2024-11-25 20:35:42,colores,False
2024-11-25 20:35:45,dejar,False
2024-11-29 19:22:20,nuevo,False
2024-11-29 19:22:23,resto,True
2024-11-29 19:22:25,noche,True
2024-11-29 19:22:28,tarde,False
2024-11-29 19:22:33,estudio,True
2024-11-29 19:22:36,muchos,False
2024-11-29 19:22:40,efecto,True
2024-11-29 19:22:46,agujero,False
2024-11-29 19:23:26,pintar,False
